interval,architecture,arch_list,lambda,train_mae_pm,train_r2_pm,val_mae_pm,val_r2_pm,val_mae_winding,val_mae_tooth,val_mae_yoke,training_time_sec,timestamp
5.0,"Medium [64, 32]","[64, 32]",0.01,0.09949175784398749,0.9999271115988405,0.15619931798518774,0.9996854217464467,0.38960056877614246,0.32206061098267047,0.27795368076149807,138.92600083351135,2025-10-27T02:34:31.993826
5.0,"Medium [64, 32]","[64, 32]",0.1,0.1475180395711203,0.9998930164765171,0.18800310221288488,0.9996234063705628,0.49620329375245437,0.4529998807627538,0.35035416585995177,138.8947675228119,2025-10-27T02:36:50.888594
5.0,"Large [128, 64, 32]","[128, 64, 32]",0.0,0.1842108729761291,0.9998494298799014,0.29756518468062415,0.9993590640025072,0.30107964646000396,0.22458556649558895,0.12812293949016057,151.00340843200684,2025-10-27T02:39:21.892002
5.0,"Large [128, 64, 32]","[128, 64, 32]",0.0001,0.14222218808841552,0.9998896075788647,0.21139367085964733,0.9995137177490496,0.3114053955042128,0.2169022581826975,0.1571623766962156,150.18889713287354,2025-10-27T02:41:52.080899
5.0,"Large [128, 64, 32]","[128, 64, 32]",0.001,0.13922575674531232,0.9998894549077512,0.2710759947553803,0.9994292484785517,0.4193370714895953,0.17403347451169396,0.12858984914332008,151.90835618972778,2025-10-27T02:44:23.989256
5.0,"Large [128, 64, 32]","[128, 64, 32]",0.01,0.18803230115790187,0.9998294966965908,0.3278438391593686,0.9992100802070303,0.4375659013985879,0.3753092955992489,0.3172245089063912,151.56464982032776,2025-10-27T02:46:55.553905
5.0,"Large [128, 64, 32]","[128, 64, 32]",0.1,0.1471671088148201,0.9998856141522722,0.20311845354050556,0.9995917418134829,0.5504606737711228,0.7412773076765443,0.4983057280889679,151.40847992897034,2025-10-27T02:49:26.962385
10.0,"Small [32, 16]","[32, 16]",0.0,0.18530676984038938,0.9998387080462177,0.230769969629398,0.9994920853200959,0.5848649626059672,0.2954057129195793,0.21416337567174867,71.45522046089172,2025-10-27T02:50:38.448849
10.0,"Small [32, 16]","[32, 16]",0.0001,0.11662165524658777,0.9999066045990774,0.19082123359949332,0.9995876233068415,0.5366654617021102,0.3722491423879091,0.20405251569894842,71.21985244750977,2025-10-27T02:51:49.668702
10.0,"Small [32, 16]","[32, 16]",0.001,0.13279553013809905,0.9998967468809203,0.18305032813653968,0.9996244204283786,0.7085764359280189,0.3200974045805409,0.19494126222741312,71.03456521034241,2025-10-27T02:53:00.703267
